key,name,building,address,directions_destination,when,ground_truth_ids,note
student-wellness-center,Student Wellness Center,student-wellness-center,"Across from the Event Center, near the 7th Street garage","Student Wellness Center, San Jose State University, San Jose, CA","counseling (CAPS), health services or the pharmacy, in person","caps-where, route-doctor",
sjsu-cares,SJSU Cares,diaz-compean-student-union,"Diaz Compean Student Union West, entrance across from the Engineering Building","Diaz Compean Student Union, San Jose State University, San Jose, CA","SJSU Cares case management: emergency housing, crisis grants, basic needs",cares-contact,
spartan-food-pantry,Spartan Food Pantry,diaz-compean-student-union,"Diaz Compean Student Union, exterior entrance across from the Engineering Building","Diaz Compean Student Union, San Jose State University, San Jose, CA",the food pantry itself,"pantry-where, language-es-food",
career-center,Career Center,clark-hall,"Clark Hall, 1st floor, room 140, near San Fernando between 6th and 7th","Clark Hall, San Jose State University, San Jose, CA","the Career Center: resumes, interviews, the career fair",career-where,
student-services-center,Student Services Center,student-services-center,9th and San Fernando,"Student Services Center, San Jose State University, San Jose, CA","the Student Services Center's own front counter, which is not the Student Union and stands in for no other office",route-front-door,
financial-aid-office,Financial Aid and Scholarship Office,student-services-center,"Student Services Center, 9th and San Fernando","Student Services Center, San Jose State University, San Jose, CA",financial aid or scholarships in person,faso-contact,
bursar-office,Bursar's Office,student-services-center,"Student Services Center, corner of 9th and San Fernando","Student Services Center, San Jose State University, San Jose, CA","a bill, a payment or a financial hold, in person",bursar-phone,
registrar,Office of the Registrar,student-services-center,"Window R, Student Services Center","Student Services Center, San Jose State University, San Jose, CA","the Registrar in person: transcripts, enrollment verification, adds and drops",registrar-window,
peer-connections,Peer Connections,student-services-center,"Student Services Center, room 600","Student Services Center, San Jose State University, San Jose, CA",tutoring or academic coaching in person,peerconn-contact,
writing-center,Writing Center,king-library,"2nd floor, Dr. Martin Luther King, Jr. Library","Dr. Martin Luther King, Jr. Library, San Jose, CA",the Writing Center,"writing-center-where, route-essay-help",
student-computing-services,Student Computing Services,king-library,"1st floor circulation desk, Dr. Martin Luther King, Jr. Library","Dr. Martin Luther King, Jr. Library, San Jose, CA","borrowing a laptop, an iPad or a hotspot",route-laptop-loan,
veterans-resource-center,Veterans Resource Center,diaz-compean-student-union,"Diaz Compean Student Union, room 1500, first floor","Diaz Compean Student Union, San Jose State University, San Jose, CA",the Veterans Resource Center,"veterans-where, route-veteran",
accessible-education-center,Accessible Education Center,diaz-compean-student-union,"CPGE building, 2nd floor","Diaz Compean Student Union, San Jose State University, San Jose, CA",the Accessible Education Center: accommodations and testing,aec-phone,"The CPGE building is not a building. Every SJSU page gives this address as ""College Professional and Global Education (CPGE) Building, 2nd Floor"" with no cross street, and no such building appears on SJSU's 2017 or 2020 campus map index, in OpenStreetMap, or in any gazetteer. It is the CPGE Suite on the Student Union's second floor (confirmed 2026-08-17)."
title-ix-office,Office for Civil Rights and Title IX,clark-hall,"Clark Hall, room 126","Clark Hall, San Jose State University, San Jose, CA","the Title IX and civil rights office, for a formal report","titleix-contact, route-report-harassment",
eop,Educational Opportunity Program,clark-hall,"Clark Hall, first floor","Clark Hall, San Jose State University, San Jose, CA",the Educational Opportunity Program,"route-first-gen, route-eop-advisor",
guardian-scholars,Guardian Scholars Program,clark-hall,"Clark Hall, first floor","Clark Hall, San Jose State University, San Jose, CA","the Guardian Scholars Program, for former foster youth",route-foster-youth,
